"","ID","Title"
"46","32353518","Do psychiatric patients experience more psychiatric symptoms during COVID-19 pandemic and lockdown? A case-control study with service and research implications for immunopsychiatry."
"47","32040421","Multiple Holdouts With Stability: Improving the Generalizability of Machine Learning Analyses of Brain-Behavior Relationships."
"48","32000983","Peripheral Blood Cell-Stratified Subgroups of Inflamed Depression."
"49","31707310","Longitudinal population subgroups of CRP and risk of depression in the ALSPAC birth cohort."
"50","31427751","Effects of immunomodulatory drugs on depressive symptoms: A mega-analysis of randomized, placebo-controlled clinical trials in inflammatory disorders."
"51","31395894","Brain-behaviour modes of covariation in healthy and clinically depressed young people."
"52","31279402","Can Immunopsychiatry Help in Understanding the Basis of Sex Differences in Major Depressive Disorder?"
"53","31258105","Prevalence of low-grade inflammation in depression: a systematic review and meta-analysis of CRP levels."
"54","31086316","Compulsivity and impulsivity traits linked to attenuated developmental frontostriatal myelination trajectories."
"55","31046936","Did Spider-Man Work in the NESDA Cohort? In Immunopsychiatry, With Great Power Comes Great Responsibility."
"56","31029797","Factor analyses differentiate clinical phenotypes of idiopathic and interferon-alpha-induced depression."
"57","31004051","Cortical patterning of abnormal morphometric similarity in psychosis is associated with brain expression of schizophrenia-related genes."
"58","30944165","Using fMRI connectivity to define a treatment-resistant form of post-traumatic stress disorder."
"59","30769887","Inflammation and Depression: A Nervous Plea for Psychiatry to Not Become Immune to Interpretation."
"60","30687037","Editorial: Clinical Relevance of the Immune-to-Brain and Brain-to-Immune Communications."
"61","30640037","The year of immunopsychiatry: A special issue that foresaw the future."
"62","30596638","Change, stability, and instability in the Pavlovian guidance of behaviour from adolescence to young adulthood."
"63","30527210","Where There's Smoke, There's Fire-But Who Is Lighting the Match? Bolstering Transcriptional Evidence for the Role of Nuclear Factor-κB in Neuroimmune Activation in Schizophrenia."
"64","30414442","Longitudinal association between inflammatory markers and specific symptoms of depression in a prospective birth cohort."
"65","30307494","Trajectories and Milestones of Cortical and Subcortical Development of the Marmoset Brain From Infancy to Adulthood."
"66","30104728","Sex-specific impact of prenatal androgens on social brain default mode subsystems."
"67","30063870","Association between cytokines and psychiatric symptoms in chronic fatigue syndrome and healthy controls."
"68","29768184","Effectiveness of depression interventions for people living with HIV in Sub-Saharan Africa: A systematic review & meta-analysis of psychological & immunological outcomes."
"69","29733946","The effect of insulin-induced hypoglycemia on inflammatory markers: A systematic review."
"70","29705852","The MRL Model: A Valuable Tool in Studies of Autoimmunity-Brain Interactions."
"71","29703679","A Network Neuroscience Approach to Typical and Atypical Brain Development."
"72","29622048","Systemic inflammation and intelligence in early adulthood and subsequent risk of schizophrenia and other non-affective psychoses: a longitudinal cohort and co-relative study."
"73","29609110","Psychoneuroimmunology and immunopsychiatry of zebrafish."
"74","29544672","Prevalence and correlates of low-grade systemic inflammation in adult psychiatric inpatients: An electronic health record-based study."
"75","29483624","Synaptic and transcriptionally downregulated genes are associated with cortical thickness differences in autism."
"76","29377288","Effects of anti-inflammatory drugs on the expression of tryptophan-metabolism genes by human macrophages."
"77","29325701","Developmental cognitive neuroscience using latent change score models: A tutorial and applications."
"78","29277403","Probabilistic thresholding of functional connectomes: Application to schizophrenia."
"79","29276055","Morphometric Similarity Networks Detect Microscale Cortical Organization and Predict Inter-Individual Cognitive Variation."
"80","29274746","Structural covariance networks are coupled to expression of genes enriched in supragranular layers of the human cortex."
"81","29197507","Association between a functional interleukin 6 receptor genetic variant and risk of depression and psychosis in a population-based birth cohort."
"82","29177462","Cohort Profile: The NSPN 2400 Cohort: a developmental sample supporting the Wellcome Trust NeuroScience in Psychiatry Network."
"83","29140226","Childhood inflammatory markers and intelligence as predictors of subsequent persistent depressive symptoms: a longitudinal cohort study."
"84","29107155","The blood-brain interface: a culture change."
"85","29040650","Interferon-Alpha Reduces Human Hippocampal Neurogenesis and Increases Apoptosis via Activation of Distinct STAT1-Dependent Mechanisms."
"86","28809860","Repeated exposure to systemic inflammation and risk of new depressive symptoms among older adults."
"87","28787239","Mutualistic Coupling Between Vocabulary and Reasoning Supports Cognitive Development During Late Adolescence and Early Adulthood."
"88","28688579","Replicable and Coupled Changes in Innate and Adaptive Immune Gene Expression in Two Case-Control Studies of Blood Microarrays in Major Depressive Disorder."
"89","28479211","Why are depressed patients inflamed? A reflection on 20 years of research on depression, glucocorticoid resistance and inflammation."
"90","28418288","Immunopsychiatry: important facts."
"91","28148956","Micro-connectomics: probing the organization of neuronal networks at the cellular scale."
"92","29560890","Opportunities and Challenges for Psychiatry in the Connectomic Era."
"93","27984591","The Multilayer Connectome of Caenorhabditis elegans."
"94","27655008","Small-World Brain Networks Revisited."
"95","27617835","Statistical Analysis of Tract-Tracing Experiments Demonstrates a Dense, Complex Cortical Network in the Mouse."
"96","27568060","Quantitative evaluation of simulated functional brain networks in graph theoretical analysis."
"97","27457931","Adolescence is associated with genomically patterned consolidation of the hubs of the human brain connectome."
"98","27430030","Default Mode Hypoconnectivity Underlies a Sex-Related Autism Spectrum."
"99","29560862","Biological Psychiatry and Biological Psychiatry: Cognitive Neuroscience and Neuroimaging Adopt Neuroscience-Based Nomenclature."
"100","27346079","Constance E. Lieber, Theodore R. Stanley, and the Enduring Impact of Philanthropy on Psychiatry Research."
"101","27313048","Carrots and sticks fail to change behavior in cocaine addiction."
"102","27312230","Biological Psychiatry and Biological Psychiatry: Cognitive Neuroscience and Neuroimaging Adopt Neuroscience-Based Nomenclature."
"103","27244229","Peripheral Immune Cell Populations Associated with Cognitive Deficits and Negative Symptoms of Treatment-Resistant Schizophrenia."
"104","27207917","Absolute Measurements of Macrophage Migration Inhibitory Factor and Interleukin-1-β mRNA Levels Accurately Predict Treatment Response in Depressed Patients."
"105","27026480","Comparative Connectomics."
"106","26988846","Is it time for immunopsychiatry in psychotic disorders?"
"107","26472684","Altered Hub Functioning and Compensatory Activations in the Connectome: A Meta-Analysis of Functional Neuroimaging Studies in Schizophrenia."
"108","26413477","Whole-brain functional hypoconnectivity as an endophenotype of autism in adolescents."
"109","26359887","Psychoneuroimmunology or immunopsychiatry?"
"110","26359882","Mind and antibody: the return of immunopsychiatry."
"111","26150519","Randomization and resilience of brain functional networks as systems-level endophenotypes of schizophrenia."
"112","25944610","A wavelet-based estimator of the degrees of freedom in denoised fMRI time series for probabilistic testing of functional connectivity and brain graphs."
"113","25800211","Dopamine and memory dedifferentiation in aging."
"114","25064668","Differentiating BOLD and non-BOLD signals in fMRI time series from anesthetized rats using multi-echo EPI at 11.7 T."
"115","25057133","The hubs of the human connectome are generally implicated in the anatomy of brain disorders."
"116","24813604","From connections to function: the mouse brain connectome atlas."
"117","24726580","Connectomics: a new paradigm for understanding brain disease."
"118","24690112","Abnormal cortical growth in schizophrenia targets normative modules of synchronized development."
"119","24439554","Immunologic therapeutics and psychotic disorders."
"120","8848952","Obstetric complications and autoantibodies in schizophrenia."
"121","7808701","Differences in serum interleukin-6 (IL-6) between healthy dextral and non-dextral subjects."
"122","9384885","Immune abnormalities in schizophrenia: evidence for the autoimmune hypothesis."
"123","8084939","An association between anti-hippocampal antibody concentration and lymphocyte production of IL-2 in patients with schizophrenia."
"124","1450294","The prevalence of autoantibodies among right and left handed schizophrenic patients and control subjects."
"125","1683585","Elevated IGG and IGM anticardiolipin antibodies in a subgroup of medicated and unmedicated schizophrenic patients."
"126","3894271","From immunoneurology to immunopsychiatry: neuromodulating activity of anti-brain antibodies."
