"","ID","Year","Title","Abstract"
"11","35130814",2022,"Immunopsychiatry: an update on autoimmune encephalitis for neuropsychiatrists.","Autoimmune encephalitis (AIE) is a group of immune-mediated inflammatory processes of the brain with marked psychiatric features. Although relatively rare  they might offer difficult differential diagnosis with psychiatric conditions  especially catatonia and psychotic syndromes. Anti-N-methyl-d-aspartate receptor (NMDAR) encephalitis is the most common AIE  presenting with psychiatric syndromes in 90% of cases. The associated psychopathology is complex  pleomorphic  and best characterized when there is involvement of a psychiatrist in the assessment. This text will review the main aspects of AIE to psychiatrists and/or neuropsychiatrists. Immune system dysfunction has been implicated in the pathophysiology of psychiatric symptoms and disorders. The use of diagnostic criteria for possible AIE  especially when specific antibodies of AIE are not available  allows early diagnosis and prompt treatment which are associated with better clinical outcomes. The study of the psychiatric aspects of AIE can broaden our knowledge of the underlying mechanisms of various psychiatric manifestations."
"12","35039006",2022,"NSAID use and unnatural deaths after cancer diagnosis: a nationwide cohort study in Sweden.","Cancer patients experience increased risk of death from accident and suicide. Cognitive impairment induced by cancer-related inflammation and stress-related psychiatric symptoms may be underlying mechanisms. We therefore studied the association between use of nonsteroidal anti-inflammatory drugs (NSAIDs) and risk of these outcomes. Following a cohort of 388 443 cancer patients diagnosed between October 2005 and December 2014 in Sweden  we ascertained dispense of aspirin or non-aspirin NSAIDs from 3 months before cancer diagnosis onward and defined the on-medication period as from date of drug dispense until the prescribed dosage was consumed. Follow-up time outside medicated periods and time from unexposed patients were defined as off-medication periods. We used Cox models to estimate hazard ratios (HRs) of death due to suicide or accident  by comparing the on-medication periods with off-medication periods. In total  29.7% of the cancer patients had low-dose aspirin dispensed and 29.1% had non-aspirin NSAIDs dispensed. Patients with aspirin use were more likely to be male than patients without aspirin use. Compared with off-medication periods  there was a 22% lower risk of accidental death (N = 651; HR 0.78  95% confidence interval [CI]: 0.70 to 0.87) during on-medication periods with aspirin. The use of aspirin was not associated with risk of suicide (N = 59; HR 0.96  95% CI: 0.66 to 1.39). No association was noted between use of non-aspirin NSAIDs and the risk of suicide (N = 13; HR 0.95  95% CI: 0.42 to 2.18) or accidental death (N = 59; HR 0.92  95% CI: 0.68 to 1.26). Intake of low-dose aspirin after cancer diagnosis was associated with a lower risk of unnatural deaths among cancer patients."
"13","34972034",2022,"Choroid plexus enlargement is associated with neuroinflammation and reduction of blood brain barrier permeability in depression.","Recent studies have shown that choroid plexuses (CP) may be involved in the neuro-immune axes  playing a role in the interaction between the central and peripheral inflammation. Here we aimed to investigate CP volume alterations in depression and their associations with inflammation. 51 depressed participants (HDRS score > 13) and 25 age- and sex-matched healthy controls (HCs) from the Wellcome Trust NIMA consortium were re-analysed for the study. All the participants underwent full peripheral cytokine profiling and simultaneous [11C]PK11195 PET/structural MRI imaging for measuring neuroinflammation and CP volume respectively. We found a significantly greater CP volume in depressed subjects compared to HCs (t (76)  = +2.17) that was positively correlated with [ 11 C]PK11195 PET binding in the anterior cingulate cortex (r = 0.28  p = 0.02)  prefrontal cortex (r = 0.24  p = 0.04)  and insular cortex (r = 0.24  p = 0.04)  but not with the peripheral inflammatory markers: CRP levels (r = 0.07  p = 0.53)  IL-6 (r = -0.08  p = 0.61)  and TNF-α (r = -0.06  p = 0.70). The CP volume correlated with the [ 11 C]PK11195 PET binding in CP (r = 0.34  p = 0.005). Integration of transcriptomic data from the Allen Human Brain Atlas with the brain map depicting the correlations between CP volume and PET imaging found significant gene enrichment for several pathways involved in neuroinflammatory response. This result supports the hypothesis that changes in brain barriers may cause reduction in solute exchanges between blood and CSF  disturbing the brain homeostasis and ultimately contributing to inflammation in depression. Given that CP anomalies have been recently detected in other brain disorders  these results may not be specific to depression and might extend to other conditions with a peripheral inflammatory component."
"14","34921784",2021,"Immunopsychiatry in 2021: premise to promise, and back again.","NA"
"15","34875343",2021,"Clocking onto chemotherapy to enhance cancer treatment.","NA"
"16","34824122",2021,"Point-of-care testing in a high-income country paediatric emergency department: a qualitative study in Sweden.","In many resource-limited health systems  point-of-care tests (POCTs) are the only means for clinical patient sample analyses. However  the speed and simplicity of POCTs also makes their use appealing to clinicians in high-income countries (HICs)  despite greater laboratory accessibility. Although also part of the clinical routine in HICs  clinician perceptions of the utility of POCTs are relatively unknown in such settings as compared with others. In a Swedish paediatric emergency department (PED) where POCT use is routine  we aimed to characterise healthcare providers' perspectives on the clinical utility of POCTs and explore their implementation in the local setting; to discuss and compare such perspectives  to those reported in other settings; and finally  to gather requests for ideal novel POCTs. Qualitative focus group discussions study. A data-driven content analysis approach was used for analysis. The PED of a secondary paediatric hospital in Stockholm  Sweden. Twenty-four healthcare providers clinically active at the PED were enrolled in six focus groups. A range of POCTs was routinely used. The emerging theme  Utility of our POCT use is double-edged  illustrated the perceived utility of POCTs. While POCT services were considered to have clinical and social value  the local routine for their use was named to distract clinicians from the care for patients. Requests were made for ideal POCTs and their implementation. Despite their clinical integration  deficient implementation routines limit the benefits of POCT services to this well-resourced paediatric clinic. As such deficiencies are shared with other settings  it is suggested that some characteristics of POCTs and of their utility are less related to resource level and more to policy deficiency. To address this  we propose the appointment of skilled laboratory personnel as ambassadors to hospital clinics offering POCT services  to ensure higher utility of such services."
"17","34806789",2021,"Population-based study of multisystem inflammatory syndrome associated with COVID-19 found that 36% of children had persistent symptoms.","Our aim was to describe the outcomes of multisystem inflammatory syndrome in children (MIS-C) associated with COVID-19. This national  population-based  longitudinal  multicentre study used Swedish data that were prospectively collected between 1 December 2020 and 31 May 2021. All patients met the World Health Organization criteria for MIS-C. The outcomes 2 and 8 weeks after diagnosis are presented  and follow-up protocols are suggested. We identified 152 cases  and 133 (87%) participated. When followed up 2 weeks after MIS-C was diagnosed  43% of the 119 patients had abnormal results  including complete blood cell counts  platelet counts  albumin levels  electrocardiograms and echocardiograms. After 8 weeks  36% of 89 had an abnormal patient history  but clinical findings were uncommon. Echocardiogram results were abnormal in 5% of 67  and the most common complaint was fatigue. Older children and those who received intensive care were more likely to report symptoms and have abnormal cardiac results. More than a third (36%) of the patients had persistent symptoms 8 weeks after MIS-C  and 5% had abnormal echocardiograms. Older age and higher levels of initial care appeared to be risk factors. Structured follow-up visits are important after MIS-C."
"18","34801117",2021,"Antipsychotics and COVID-19: the debate goes on - Authors' reply.","NA"
"19","34778569",2021,"Research priorities for neuroimmunology: identifying the key research questions to be addressed by 2030.","Neuroimmunology in the broadest sense is the study of interactions between the nervous and the immune systems. These interactions play important roles in health from supporting neural development  homeostasis and plasticity to modifying behaviour. Neuroimmunology is increasingly recognised as a field with the potential to deliver a significant positive impact on human health and treatment for neurological and psychiatric disorders. Yet  translation to the clinic is hindered by fundamental knowledge gaps on the underlying mechanisms of action or the optimal timing of an intervention  and a lack of appropriate tools to visualise and modulate both systems. Here we propose ten key disease-agnostic research questions that  if addressed  could lead to significant progress within neuroimmunology in the short to medium term. We also discuss four cross-cutting themes to be considered when addressing each question: i) bi-directionality of neuroimmune interactions; ii) the biological context in which the questions are addressed (e.g. health vs disease vs across the lifespan); iii) tools and technologies required to fully answer the questions; and iv) translation into the clinic. We acknowledge that these ten questions cannot represent the full breadth of gaps in our understanding; rather they focus on areas which  if addressed  may have the most broad and immediate impacts. By defining these neuroimmunology priorities  we hope to unite existing and future research teams  who can make meaningful progress through a collaborative and cross-disciplinary effort."
"20","34668170",2021,"Toward the unity of pathological and exertional fatigue: A predictive processing model.","Fatigue is a common experience in both health and disease. Yet  pathological (i.e.  prolonged or chronic) and transient (i.e.  exertional) fatigue symptoms are traditionally considered distinct  compounding a separation between interested research fields within the study of fatigue. Within the clinical neurosciences  nascent frameworks position pathological fatigue as a product of inference derived through hierarchical predictive processing. The metacognitive theory of dyshomeostasis (Stephan et al.  2016) states that pathological fatigue emerges from the metacognitive mechanism in which the detection of persistent mismatches between prior interoceptive predictions and ascending sensory evidence (i.e.  prediction error) signals low evidence for internal generative models  which undermine an agent's feeling of mastery over the body and is thus experienced phenomenologically as fatigue. Although acute  transient subjective symptoms of exertional fatigue have also been associated with increasing interoceptive prediction error  the dynamic computations that underlie its development have not been clearly defined. Here  drawing on the metacognitive theory of dyshomeostasis  we extend this account to offer an explicit description of the development of fatigue during extended periods of (physical) exertion. Accordingly  it is proposed that a loss of certainty or confidence in control predictions in response to persistent detection of prediction error features as a common foundation for the conscious experience of both pathological and nonpathological fatigue."
"21","34607723",2021,"Monitoring inflammation in psychiatry: Caveats and advice.","Most researchers working in the field of immunopsychiatry would agree with the statement that ""severe psychiatric disorders are associated with inflammation and more broadly with changes in immune variables"". However  as many other fields in biology and medicine  immunopsychiatry suffers from a replication crisis characterized by lack of reproducibility. In this paper  we will comment on four types of immune variables which have been studied in psychiatric disorders: Acute Phase Proteins (AAPs)  cytokines  lipid mediators of inflammation and immune cell parameters  and discuss the rationale for looking at them in blood. We will briefly describe the analytical methods that are currently used to measure the levels of these biomarkers and comment on overlooked analytical and statistical methodological issues that may explain some of the conflicting data reported in the literature. Lastly  we will briefly summarize what cross-sectional  longitudinal and mendelian randomization studies have brought to our understanding of schizophrenia (SZ)."
"22","34607588",2021,"Measuring clinical outcomes in children with pediatric acute-onset neuropsychiatric syndrome: data from a 2-5 year follow-up study.","It is unclear how to best measure the complex symptom presentation of pediatric acute-onset neuropsychiatric syndrome (PANS). Well-characterized participants of a 2-5 year follow-up study (n = 34; 56% male) underwent clinical evaluations and completed scales assessing global symptom severity  functional impairment and specific psychiatric symptoms. We explored inter-correlations between the measures and used intraclass correlation coefficients to evaluate the agreement between clinician-  parent- and child ratings of the same constructs. Ratings on symptom-specific measures varied largely between participants. Agreement between informants was excellent on functional scales  fair-to-moderate on global severity scales and mixed on symptom-specific scales. Clinician-rated global and functional measures had stronger inter-correlations with parent- and child-rated functional measures than with symptom-specific measures. General instruments assessing global severity and functioning are well suited for the assessment and follow-up of PANS  but should be complemented by symptom-specific scales representative of core symptoms."
"23","34589805",2021,"The future of immunopsychiatry: Three milestones to clinical innovation.","Psychoneuroimmunology  the area of research dedicated to understanding the fundamental interactions between the central nervous system and the immune system  has given rise to the development of Immunopsychiatry  a new discipline which harnesses the immune system to produce beneficial outcomes for mental health problems. Immunopsychiatry has the potential to become a clinically relevant specialty area in psychiatric practice  but has not yet been adopted by the wider mental health community. This paper aims to map out the future trajectory of Immunopsychiatry on its road towards science-to-policy knowledge translation and clinical implementation. Three critical milestones which will need to be reached in order for Immunopsychiatry to fulfil its promise for clinical innovation are discussed: a clear definition of patients who fall within the immunopsychiatric continuum; demonstration of well-defined clinical benefit and incorporation in clinical guidelines; and convergence with other paradigms in biological psychiatry."
"24","34589785",2021,"Building a replicable and clinically-impactful immunopsychiatry: Methods, phenotyping, and theory integration.","Immunopsychiatry is a subfield of psychoneuroimmunology that integrates immunological and psychopathological processes with promise for improving the classification  identification  and treatment of psychopathology. Using research on the relationship between inflammation and depression as a running example  this mini-review will discuss three areas of work that should be emphasized in future research to maximize the replicability and clinical impact of the field: 1) methodology with respect to planning data collection and statistical analyses with measurement properties and conceptually important sources of variance in mind  2) characterizing inflammatory phenotypes of psychopathology  and 3) the integration of inflammatory processes into robust  extant psychosocial theoretical frameworks of psychopathology risk. Consistent  parallel growth in all three areas will ensure immunopsychiatry research is replicable  contributes to understanding of how (and for whom) the immune system is associated with psychiatric symptoms  and increases the flexibility and power of personalized treatment planning."
"25","34505378",2021,"Psychiatric symptoms and cognitive impairment in ""Long COVID"": the relevance of immunopsychiatry.","NA"
"26","34274033",2021,"Mental disorders and risk of COVID-19-related mortality, hospitalisation, and intensive care unit admission: a systematic review and meta-analysis.","Mental disorders might be a risk factor for severe COVID-19. We aimed to assess the specific risks of COVID-19-related mortality  hospitalisation  and intensive care unit (ICU) admission associated with any pre-existing mental disorder  and specific diagnostic categories of mental disorders  and exposure to psychopharmacological drug classes. In this systematic review and meta-analysis  we searched Web of Science  Cochrane  PubMed  and PsycINFO databases between Jan 1  2020  and March 5  2021  for original studies reporting data on COVID-19 outcomes in patients with psychiatric disorders compared with controls. We excluded studies with overlapping samples  studies that were not peer-reviewed  and studies written in languages other than English  Danish  Dutch  French  German  Italian  and Portuguese. We modelled random-effects meta-analyses to estimate crude odds ratios (OR) for mortality after SARS-CoV-2 infection as the primary outcome  and hospitalisation and ICU admission as secondary outcomes. We calculated adjusted ORs for available data. Heterogeneity was assessed using the I 2  statistic  and publication bias was tested with Egger regression and visual inspection of funnel plots. We used the GRADE approach to assess the overall strength of the evidence and the Newcastle Ottawa Scale to assess study quality. We also did subgroup analyses and meta-regressions to assess the effects of baseline COVID-19 treatment setting  patient age  country  pandemic phase  quality assessment score  sample sizes  and adjustment for confounders. This study is registered with PROSPERO  CRD42021233984. 841 studies were identified by the systematic search  of which 33 studies were included in the systematic review and 23 studies in the meta-analysis  comprising 1 469 731 patients with COVID-19  of whom 43 938 had mental disorders. The sample included 130 807 females (8·9% of the whole sample) and 130 373 males (8·8%). Nine studies provided data on patient race and ethnicity  and 22 studies were rated as high quality. The presence of any mental disorder was associated with an increased risk of COVID-19 mortality (OR 2·00 [95% CI 1·58-2·54]; I 2 =92·66%). This association was also observed for psychotic disorders (2·05 [1·37-3·06]; I 2 =80·81%)  mood disorders (1·99 [1·46-2·71]; I 2 =68·32%)  substance use disorders (1·76 [1·27-2·44]; I 2 =47·90%)  and intellectual disabilities and developmental disorders (1·73 [1·29-2·31]; I 2 =90·15%) but not for anxiety disorders (1·07 [0·73-1·56]; I 2 =11·05%). COVID-19 mortality was associated with exposure to antipsychotics (3·71 [1·74-7·91]; I 2 =90·31%)  anxiolytics (2·58 [1·22-5·44]; I 2 =96·42%)  and antidepressants (2·23 [1·06-4·71]; I 2 =95·45%). For psychotic disorders  mood disorders  antipsychotics  and anxiolytics  the association remained significant after adjustment for age  sex  and other confounders. Mental disorders were associated with increased risk of hospitalisation (2·24 [1·70-2·94]; I 2 =88·80%). No significant associations with mortality were identified for ICU admission. Subgroup analyses and meta-regressions showed significant associations of baseline COVID-19 treatment setting (p=0·013) and country (p<0·0001) with mortality. No significant associations with mortality were identified for other covariates. No evidence of publication bias was found. GRADE assessment indicated high certainty for crude mortality and hospitalisation  and moderate certainty for crude ICU admission. Pre-existing mental disorders  in particular psychotic and mood disorders  and exposure to antipsychotics and anxiolytics were associated with COVID-19 mortality in both crude and adjusted models. Although further research is required to determine the underlying mechanisms  our findings highlight the need for targeted approaches to manage and prevent COVID-19 in at-risk patient groups identified in this study. None. For the Italian  French and Portuguese translations of the abstract see Supplementary Materials section."
"27","34153835",2021,"Neuroinflammation in Major Depressive Disorder: A Review of PET Imaging Studies Examining the 18-kDa Translocator Protein.","Major Depressive Disorder (MDD) is a severe psychiatric disorder whose pathological mechanisms are largely unknown. In the field of immuno-psychiatry  several evidences suggested a prominent role of inflammation in MDD not only in peripheral immune system but also in the brain. To date  brain inflammation is traceable in vivo with Positron Emission Tomography (PET)  through the quantification of the expression of 18-kda Translocator Protein (TSPO) by active microglia. In this context  this review aimed to summarize the results of all in vivo PET imaging studies that evaluated microglia activation in MDD. A bibliographic search in PubMed up to June 2020 was performed. A total of 9 studies that used first and second generation TSPO radiotracers met our inclusion criteria. Overall the results suggested the presence of TSPO upregulation in MDD  especially in anterior cingulate cortex  prefrontal cortex  hippocampal formation and insula. Notably  from a therapeutic point of view  results suggested that the symptoms amelioration  caused by both antidepressant medication and cognitive behavioural therapy  may be accompanied by reduced inflammatory status in the brain. Finally  a positive effect of the anti-inflammatory treatment with a cyclooxygenase inhibitor has also been observed. The heterogeneity across the studies in experimental designs  sample selection and methods limited the studies comparison. These findings supported the presence of neuroinflammation in MDD  suggesting that microgliosis may be an important pathophysiological mechanism that merits further investigation as a potential target for novel treatment strategies."
"28","33897352",2021,"Circulating Angiotensin-(1-7) Is Reduced in Alzheimer's Disease Patients and Correlates With White Matter Abnormalities: Results From a Pilot Study.","Alzheimer's disease (AD) is the leading cause of dementia worldwide. Despite the extensive research  its pathophysiology remains largely unelucidated. Currently  more attention is being given to the disease's vascular and inflammatory aspects. In this context  the renin-angiotensin system (RAS) emerges as a credible player in AD pathogenesis. The RAS has multiple physiological functions  conducted by its two opposing axes: the classical  led by Angiotensin II (Ang II)  and the alternative  driven by Angiotensin-(1-7) [Ang-(1-7)]. These peptides were shown to interact with AD pathology in animal studies  but evidence from humans is scarce. Only 20 studies dosed RAS molecules in AD patients' bloodstream  none of which assessed both axes simultaneously. Therefore  we conducted a cross-sectional  case-control exploratory study to compare plasma levels of Ang II and Ang-(1-7) in AD patients vs. age-matched controls. Within each group  we searched for correlations between RAS biomarkers and measures from magnetic resonance imaging (MRI). We evaluated patients with AD (n = 14) and aged-matched controls (n = 14). Plasma Ang II and Ang-(1-7) were dosed using ELISA. Brain MRI was performed in a 3 Tesla scan  and a three-dimensional T1-weighted volumetric sequence was obtained. Images were then processed by FreeSurfer to calculate: (1) white matter hypointensities (WMH) volume; (2) volumes of hippocampus  medial temporal cortex  and precuneus. Statistical analyses used non-parametrical tests (Mann-Whitney and Spearman). Ang-(1-7) levels in plasma were significantly lower in the AD patients than in controls [median (25th-75th percentiles)]: AD [101.5 (62.43-126.4)] vs. controls [209.3 (72-419.1)]   p  = 0.014. There was no significant difference in circulating Ang II. In the AD patients  but not in controls  there was a positive and significant correlation between Ang-(1-7) values and WMH volumes (Spearman's rho = 0.56   p  = 0.038). Ang-(1-7) did not correlate with cortical volumes in AD or in controls. Ang II did not correlate with any MRI variable in none of the groups. If confirmed  our results strengthen the hypothesis that RAS alternative axis is downregulated in AD  and points to a possible interaction between Ang-(1-7) and cerebrovascular lesions in AD."
